date_id,release_date,year,month
1287,2015-06-09,2015,6
1288,2015-06-10,2015,6
1289,2015-06-11,2015,6
1290,2015-06-15,2015,6
1291,2015-06-16,2015,6
1292,2015-06-17,2015,6
1293,2015-06-18,2015,6
1294,2015-06-19,2015,6
1295,2015-06-22,2015,6
1296,2015-06-23,2015,6
1297,2015-06-24,2015,6
1298,2015-06-25,2015,6
1299,2015-06-26,2015,6
1300,2015-06-29,2015,6
1301,2015-06-30,2015,6
1302,2015-07-01,2015,7
1303,2015-07-02,2015,7
1304,2015-07-03,2015,7
1305,2015-07-06,2015,7
1306,2015-07-07,2015,7
1307,2015-07-08,2015,7
1308,2015-07-09,2015,7
1309,2015-07-10,2015,7
1310,2015-07-13,2015,7
1311,2015-07-14,2015,7
1312,2015-07-15,2015,7
1313,2015-07-16,2015,7
1314,2015-07-17,2015,7
1315,2015-07-20,2015,7
1316,2015-07-21,2015,7
1317,2015-07-22,2015,7
1318,2015-07-23,2015,7
1319,2015-07-24,2015,7
1320,2015-07-27,2015,7
1321,2015-07-28,2015,7
1322,2015-07-29,2015,7
1323,2015-07-30,2015,7
1324,2015-07-31,2015,7
1325,2015-08-03,2015,8
1326,2015-08-04,2015,8
1327,2015-08-05,2015,8
1328,2015-08-06,2015,8
1329,2015-08-07,2015,8
1330,2015-08-10,2015,8
1331,2015-08-11,2015,8
1332,2015-08-12,2015,8
1333,2015-08-13,2015,8
1334,2015-08-14,2015,8
1335,2015-08-17,2015,8
1336,2015-08-18,2015,8
1337,2015-08-19,2015,8
1338,2015-08-20,2015,8
1339,2015-08-21,2015,8
1340,2015-08-24,2015,8
1341,2015-08-25,2015,8
1342,2015-08-26,2015,8
1343,2015-08-27,2015,8
1344,2015-08-28,2015,8
1345,2015-08-31,2015,8
1346,2015-09-01,2015,9
1347,2015-09-02,2015,9
1348,2015-09-03,2015,9
1349,2015-09-04,2015,9
1350,2015-09-07,2015,9
1351,2015-09-08,2015,9
1352,2015-09-09,2015,9
1353,2015-09-10,2015,9
1354,2015-09-11,2015,9
1355,2015-09-14,2015,9
1356,2015-09-15,2015,9
1357,2015-09-16,2015,9
1358,2015-09-17,2015,9
1359,2015-09-18,2015,9
1360,2015-09-21,2015,9
1361,2015-09-22,2015,9
1362,2015-09-23,2015,9
1363,2015-09-24,2015,9
